ngram,count
all cowards—shame,1
sudden thank,1
part-pay ere,1
he shipped,1
every kind,1
weeks’ allowance,1
very top,1
oil-butt lashed,1
seals arising,1
fish And,1
have made,2
tantalizing his,1
winds that,2
here No,1
about then,1
http //pglaf.org/fundraising,1
must watch,1
my final,1
these lumps,1
be fit,1
1_st_ 1836,1
disobey my,1
mind what,1
going as,1
at times,38
separate the,2
Persian once,1
eve smoking,1
cover nothing,1
If ye,2
ours—watery or,1
neither craven,1
between man’s,1
no words,1
summit with,1
great whales.”,2
billows the,1
match keg,1
"to 5,000",1
being every,1
content and,1
buoyant thing,1
Nantucket invest,1
wheeling like,1
derive from,1
past it,1
heavily forged,2
he stole,1
“I believe,1
aught else,1
ropes for,1
endlessly streamed,1
fresher verdure,1
need it,1
king’s cabinets,1
and first,1
horn for,1
brief suspended,1
precise way,1
here how,1
pig-lead in,1
there quietly,1
nurse the,1
those seamen,1
it looks,1
altitude Hence,1
noblemen my,1
his arm,9
mostly the,1
position of,4
is stripped,1
helped the,1
throat of,1
Sperm Whales,8
descried bearing,1
premised that,1
the Delight,1
sight an,1
mothers also,1
with fencing,1
part us,1
were repeatedly,1
go all,1
Tun until,1
bone old,1
the plunging,1
my power,1
maim He,1
troubled master-eye,1
thickets with,1
suspended we,1
what internal,1
as ye,1
cure for,1
him many,1
bringing in,1
Where thou,1
an exactly,1
candles—that’s the,1
whether this,4
the eating,1
more about,2
was again,3
alarmed or,1
apart he,1
—_Elizabeth Oakes,1
Standing on,1
whale-ship her,1
are pretty,1
can transcend,1
present time,3
After its,1
That bravely,1
me Ahab,1
the sea-crashing,1
Pacific so,1
wonders and,2
Even the,1
and passed,3
undiscovered but,1
thyself ere,1
rest by,1
be newly,1
candle like,1
whale than,1
bats and,1
bid strike,1
a peddlin’,1
it overwhelmed,1
for where,1
were life,1
a valiant,1
stand no,1
manliness we,1
fluid and,1
her last,2
ye make,1
him—him—” “Corkscrew,1
now listen,1
mark and,3
unrestingly pacing,1
now abating,1
ultimate glassy,1
things called,2
funeral music,1
