word,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
aids,0.0,0.4621673989741075,0.582945194836314,0.7059758607885568,0.6418946397815046,0.6943432627237609,0.6811062003997206,0.71165727539603,0.956170993664597,1.082463634882641
currently,0.0,0.8023700579098554,0.8931124792242899,0.9703956902437785,0.9623428472458155,0.9358428799341023,0.9310299839671005,0.9535012301501401,0.9914974270182505,1.0010363581388888
typically,0.0,0.8093799927769028,0.9270084517731103,0.8873181115394977,0.8708905182719804,0.8844076648927507,0.8775084846035971,0.8910917242659149,0.9271552206270692,0.9868113128509456
commitment,0.0,0.6457523366769481,0.6040330268319352,0.7355850748178687,0.7404263343247818,0.8019254434608124,0.8830798935417923,0.9002442134465319,0.9158828050592068,0.9833717980899289
screening,0.0,0.7602028500444046,0.7581451127797306,0.8044959000973392,0.9625919685306142,0.8400777139410632,0.8627485020195118,0.9446596121514748,0.9997181629937943,0.9652984546989061
significantly,2.220446049250313e-16,0.6296465246744487,0.8072622982313704,0.8308446641579961,0.8850152766590109,0.9011618658716114,0.9551367679514932,0.9674412166097996,0.9799313033658116,0.9646130342296265
shatter,0.0,0.8163733981072958,0.6755485888208743,0.7216515636730257,0.7650223391176902,0.8343008892508863,0.7704334490331283,0.805334410550819,0.8912524138650045,0.9624218838913353
stance,-2.220446049250313e-16,0.599932320398253,0.7422280239386349,0.8169750634488768,0.7180236329463343,0.673473231240135,0.8816678481298426,0.9227951743806132,0.9222631384022253,0.9615811232269583
computer,0.0,0.0,0.0,0.0,0.8413015897063674,0.9756811384750391,0.9734813044470777,0.9962713010274284,0.9615879687267697,0.9612410643483436
encompass,0.0,0.0,0.795791167901351,0.7447048455748486,0.8619767531674951,0.8076932527696598,0.8655026097915286,0.908958679491398,0.9657488620004594,0.9591701153301948
monitor,0.0,0.7674594010513307,0.803257440677668,0.9364931471700197,0.8690351259928615,0.9268849861679199,0.8210355585031613,0.9128793654750059,0.9727711899325,0.9577023317759041
criticise,0.0,0.5668504740013558,0.6567387046431221,0.7805593522697423,0.7825076910601294,0.7654905904261418,0.7953861592260536,0.8908953674646517,0.8780212563636868,0.9574553297316678
rip,0.0,0.6370692714543487,0.7119004919722427,0.7647627402338838,0.7726656819355651,0.8469992977769389,0.8588981865372829,0.9228384048847252,0.8767886368984081,0.9571663573621124
timing,2.220446049250313e-16,0.6861724901320723,0.7198382541293316,0.7783934010423039,0.7762870752305261,0.918282770812221,0.9350579984073744,0.9643596176306535,0.9505603268820662,0.9537727653552057
peer,0.0,0.4022423410997462,0.5156848439908732,0.4844903099521053,0.6591560307900867,0.662990884884777,0.7447938461955471,0.851684787472937,0.9097836960522547,0.9515647178871101
uncover,-4.440892098500626e-16,0.7153614770312897,0.7572240807295444,0.8142929502011149,0.8943411779040082,0.9676706294257205,0.8940694256619893,0.8775235449867443,0.9410087703991854,0.9508283499806048
dramatically,0.0,0.8064282599768734,0.7728325791364855,0.8889766696961294,0.8465047052530755,0.803490405274768,0.8629532299602476,0.907247989809769,0.9212642758207034,0.949615694772808
hopefully,2.220446049250313e-16,0.7199560802979861,0.7516650611629613,0.809275541049085,0.8286541075439247,0.8195154229626143,0.8376380166450069,0.8807448154891753,0.8631396101709908,0.9329477305786261
optional,1.1102230246251565e-16,0.8593246196473874,0.8190171197993068,0.7734971152844331,0.8482619724646909,0.8911036677763472,0.8252058472033713,0.9629485461609955,0.9362790869270751,0.9316754434587151
killer,0.0,0.7116375824505505,0.8717312625781166,0.8280687987851715,0.8722152203074262,0.7437503619236214,0.8093339336587361,0.7725304268372285,0.9230007584754756,0.9260543711815274
unacceptable,-2.220446049250313e-16,0.8842929000346902,0.9976228958549055,0.9110775907444164,0.787281962499333,0.8853879425176341,0.8196316742347403,0.8569123433692858,0.858864825087808,0.9253091358191331
rating,0.0,0.6599480194798255,0.6432281481666301,0.629592884785777,0.7500621332439059,0.7852199653896739,0.7976707157091749,0.8898221244482171,0.8527222382098963,0.9239622946210202
criticize,0.0,0.7741916988449133,0.8400808365591003,0.8523727463527616,0.7741092996373529,0.8581108711895014,0.8650611508924002,0.9235694420280304,0.8615272785475413,0.9219103083867488
ironically,-2.220446049250313e-16,0.6688980580552116,0.6901803509511981,0.8476700576950642,0.8035802322942036,0.84073125527756,0.9961654525056638,0.880525817889011,0.9554742943105471,0.9201505335275649
redundancy,0.0,0.0,0.0,0.0,0.0,0.8418509143271816,0.8352755508310812,0.863975004664276,0.8377746730188446,0.9199455361414937
forecast,0.0,0.5826245722444837,0.6686638734032433,0.6510639047274418,0.6528018483572453,0.7145959799866164,0.7881625320214914,0.812941846507257,0.8436749123511191,0.9192759354772883
server,-2.220446049250313e-16,0.6442655962385095,0.0,0.0,0.0,0.6590780487493978,0.7271331832832936,0.9341886257666557,0.8632752839988712,0.9189209390800825
pensioner,2.220446049250313e-16,0.7072212330078986,0.7434621693703387,0.7895429613759011,0.756528040828256,0.7703571142964512,0.7727706944499553,0.7681285855013267,0.8309735744586138,0.9164449410050678
rehabilitation,1.1102230246251565e-16,0.7390665748922622,0.8196937931482579,0.7725926413936608,0.8144235041786656,0.8650093277377653,0.8532423276350185,0.9415497083796475,0.8487160126160146,0.9095926366061566
implement,2.220446049250313e-16,0.7799693203208925,0.7824944102446756,0.8460559273488466,0.8410566851171919,0.909035699075018,0.8743714925888202,0.9205435408489989,0.9848219074421543,0.9095555641887402
the,0.0,0.1632971053922848,0.2180819087072705,0.2784602798694974,0.2987155981056524,0.27587418395317254,0.2870143877617387,0.2724176683396786,0.2644329044774154,0.2771951386690945
