word,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
aids,1.1102230246251565e-16,0.07396407981941133,0.09971299227558861,0.1497287588884495,0.17991108468185657,0.23440177052228783,0.24676647260981732,0.30475991862092033,0.626361718151087,0.7212053304246987
currently,0.0,0.11737998519301607,0.17268089231710593,0.3394721160213048,0.46041301360842124,0.4896227091101306,0.504849895579183,0.5310556200400662,0.5342051911158487,0.5466457583928024
typically,1.1102230246251565e-16,0.12080231118195439,0.15112172072365138,0.15821882145516342,0.19372987240828365,0.23035932468804643,0.27381574484074844,0.32282661956226255,0.3720159882862222,0.4758555160236384
commitment,0.0,0.06876887017195676,0.08812397108458714,0.1529524312003313,0.2999070490794775,0.4116750301462757,0.5656065365069833,0.6341821351814889,0.6690435044779532,0.6952856961190993
screening,2.220446049250313e-16,0.13502836134520935,0.1813382959941099,0.2043414727017714,0.30384553632631073,0.40388196570118273,0.474924252016252,0.5961045182139773,0.6972136768289194,0.707101143583132
significantly,0.0,0.06372239271304325,0.1785023412508766,0.4331477320671522,0.6081254961252143,0.6908191761586069,0.73654789454094,0.7646058183926654,0.7647796049031548,0.7941114989261273
shatter,0.0,0.1189213667885266,0.1208329576980679,0.17991271870777226,0.18704131194842966,0.18951581868428513,0.19482603212444816,0.2070691210253861,0.21297578136059503,0.2423426530967474
stance,0.0,0.1088936658282964,0.18606313100768035,0.24329663725369732,0.3301835861097553,0.3728051461315244,0.4753699626836019,0.5462913689287224,0.5742234202119988,0.5647682067521582
computer,0.0,0.0,0.0,0.0,0.3149770124589487,0.34662505209492056,0.3945218636950485,0.42574972245574283,0.5209532602240489,0.5524532298572729
encompass,-2.220446049250313e-16,0.0,0.1892312581544625,0.2215540173429137,0.3160250172207948,0.3801133454129324,0.4520459905506663,0.5352353473819133,0.5574469692546601,0.5562545809496593
monitor,2.220446049250313e-16,0.18790583778564374,0.2876666218911347,0.4044781853638153,0.4863942268233359,0.48444772076163245,0.4931130314919542,0.601199350114231,0.6703606846133157,0.7059048532626062
criticise,4.440892098500626e-16,0.05265209904535295,0.06873140936916533,0.08910434332835859,0.09967162739335411,0.1102919935946457,0.105637853824319,0.12473455376783815,0.1481190505898864,0.14711321250790688
rip,0.0,0.10861479893164905,0.15742957718788742,0.17725018114656121,0.2642786871076216,0.2735502579854471,0.33432453288012054,0.3416605440695766,0.35084675124855125,0.41165774684747436
timing,2.220446049250313e-16,0.15413185479626246,0.22030673260431866,0.2244458293656788,0.2539745053889645,0.2894333174283886,0.3085809347056304,0.3372766032342299,0.3670684466879768,0.389603663773455
peer,0.0,0.07888131748235006,0.12422248079847031,0.13998573500014133,0.20594331236241337,0.22696164799810747,0.2937807687234689,0.47418927828275725,0.6366592544004437,0.7405647363882308
uncover,0.0,0.11890409344769937,0.17227323712130505,0.21519619568583415,0.2523048206883093,0.29132338419053616,0.32690272651688945,0.3814116519554497,0.4085246145111775,0.3950496047865142
dramatically,0.0,0.10592771234665732,0.15952406049924905,0.16468675995933557,0.17932161886012854,0.21880656103565943,0.3188193475145855,0.5130741834809728,0.5872734562658117,0.6330395613194109
hopefully,0.0,0.08874236601454799,0.08751754380664856,0.12909293690220536,0.15010451158597793,0.1353399191466892,0.1819299650810825,0.30075117377452276,0.26212176145291877,0.27201529630744503
optional,2.220446049250313e-16,0.0724729615398978,0.12408460254859521,0.32097076881854114,0.44759821293372026,0.5539883387447642,0.6466744395154875,0.7749332014726785,0.8149356874449261,0.802448815097256
killer,-4.440892098500626e-16,0.12191328425696335,0.1532324165347556,0.1822433395635854,0.23630852047130824,0.23250702226947972,0.2556615004795797,0.3220928547160825,0.5468561924528094,0.5583077468613015
unacceptable,0.0,0.11874967388528312,0.13219097220481535,0.20493817964349414,0.27651448592902117,0.31018131037956553,0.31021435600203484,0.3287756257801264,0.35728090361764475,0.38208129045162686
rating,0.0,0.13066440446837924,0.20259074126494592,0.2638813285943262,0.26641096873752657,0.2674275819222486,0.28566254446844075,0.31971910687558835,0.3973424286077294,0.41939046966999216
criticize,0.0,0.05329604012494327,0.0716527133491246,0.07893925952364289,0.10540578343553275,0.10647315972254123,0.1328717249092234,0.16351845827390865,0.16189003629012988,0.1508299666277979
ironically,0.0,0.07548137412492628,0.09426740108460496,0.10775795935468135,0.17642763316035925,0.2032745080471876,0.38115816077772635,0.4667562795995247,0.5460009218165769,0.5797755092121498
redundancy,0.0,0.0,0.0,0.0,0.0,0.2715661817738515,0.33819471551143476,0.40813331477951176,0.4466145242118703,0.4255585172307338
forecast,2.220446049250313e-16,0.07720838586139367,0.12487126933793724,0.15224752261035235,0.18750121817956367,0.1936513733573999,0.21913090538917823,0.3072537611928754,0.34525359619550755,0.38829682126111864
server,0.0,0.12364457340161472,0.0,0.0,0.0,0.20330728041323065,0.3108899875021244,0.3845484596878612,0.6012045721327799,0.788174920735098
pensioner,0.0,0.09757237273711916,0.11845631632444875,0.15453594766880385,0.22284394157583698,0.15958551847816838,0.19675306164916861,0.20726188334266304,0.22471785058840488,0.21810489970248148
rehabilitation,0.0,0.15246847428973698,0.2224241616495538,0.30978618558925564,0.42336518729163153,0.4748423196501098,0.49374707628356784,0.5438951517736479,0.5523526235868137,0.5725783729897056
implement,2.220446049250313e-16,0.10773156145907636,0.13471833582001358,0.2965120682533806,0.5471792925401208,0.6070109804113597,0.6677040528882099,0.7145878682878546,0.7082982789998358,0.7046122944633397
the,0.0,0.013588905014241481,0.024535063837750948,0.030900748328985483,0.04212559801977811,0.049442694503103346,0.06071290782374095,0.07657356790179626,0.09246123784128979,0.09805619420138467
